Name:Sunita,RollNo:41,Classname:12,Section:B,MarksinEnglish:97,MarksinPhysics:40,MarksinChemistry:20,MarksinMaths:5,MarksinIP:10
Name:Rohan,RollNo:42,Classname:12,Section:B,MarksinEnglish:85,MarksinPhysics:78,MarksinChemistry:82,MarksinMaths:90,MarksinIP:88
Name:Priya,RollNo:43,Classname:12,Section:B,MarksinEnglish:92,MarksinPhysics:86,MarksinChemistry:89,MarksinMaths:95,MarksinIP:91
Name:Amit,RollNo:44,Classname:12,Section:B,MarksinEnglish:76,MarksinPhysics:68,MarksinChemistry:72,MarksinMaths:80,MarksinIP:85
Name:Neha,RollNo:45,Classname:10,Section:B,MarksinEnglish:88,MarksinPhysics:91,MarksinChemistry:84,MarksinMaths:87,MarksinIP:93
Name:Vikas,RollNo:46,Classname:10,Section:B,MarksinEnglish:65,MarksinPhysics:59,MarksinChemistry:62,MarksinMaths:70,MarksinIP:74
Name:Kavita,RollNo:47,Classname:12,Section:B,MarksinEnglish:95,MarksinPhysics:94,MarksinChemistry:96,MarksinMaths:98,MarksinIP:99
Name:Rahul,RollNo:48,Classname:12,Section:B,MarksinEnglish:72,MarksinPhysics:75,MarksinChemistry:70,MarksinMaths:78,MarksinIP:81
Name:Pooja,RollNo:49,Classname:12,Section:B,MarksinEnglish:90,MarksinPhysics:88,MarksinChemistry:92,MarksinMaths:85,MarksinIP:94
Name:Arjun,RollNo:50,Classname:12,Section:B,MarksinEnglish:81,MarksinPhysics:83,MarksinChemistry:100,MarksinMaths:100,MarksinIP:100
